Accident Ref.,Borough,Boro,Easting,Northing,CREFNO,Casualty Class,Casualty Sex,Casualty Age (Banded),Casualty Age,No. of Casualties,Casualty Severity,Ped. Location,Ped. Movement,Mode of Travel, 
1170051048,CITY OF LONDON,0,533270,181570,1,3 Pedestrian,1 Male,25-59,42,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
1170052341,CITY OF LONDON,0,533743,181261,1,1 Driver/Rider,1 Male,25-59,40,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1170052424,CITY OF LONDON,0,531390,181560,1,1 Driver/Rider,1 Male,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1170054952,CITY OF LONDON,0,531780,181780,1,1 Driver/Rider,2 Female,16-24,20,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1170055442,CITY OF LONDON,0,531110,180810,1,1 Driver/Rider,2 Female,25-59,50,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1170058412,CITY OF LONDON,0,533370,181860,1,1 Driver/Rider,1 Male,25-59,37,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1170061619,CITY OF LONDON,0,532770,181770,1,1 Driver/Rider,2 Female,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1170063337,CITY OF LONDON,0,533822,180781,1,1 Driver/Rider,1 Male,25-59,37,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1170064514,CITY OF LONDON,0,533380,181920,1,3 Pedestrian,2 Female,60+,61,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
1170066198,CITY OF LONDON,0,532700,181110,1,2 Passenger,2 Female,60+,67,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
1170069854,CITY OF LONDON,0,532720,181790,1,3 Pedestrian,1 Male,25-59,39,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
1170071724,CITY OF LONDON,0,531390,181570,1,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1170071913,CITY OF LONDON,0,531082,181614,1,1 Driver/Rider,1 Male,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
1170077554,CITY OF LONDON,0,531600,181360,1,1 Driver/Rider,1 Male,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1170077831,CITY OF LONDON,0,531640,180920,1,1 Driver/Rider,1 Male,25-59,38,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1170078281,CITY OF LONDON,0,533600,181178,1,3 Pedestrian,2 Female,25-59,29,1,3 Slight,08 In Centre Of Carriageway,7 In Rd Facing Traffic,1 Pedestrian, 
1170107499,CITY OF LONDON,0,531890,181360,1,1 Driver/Rider,2 Female,25-59,48,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170143991,CITY OF LONDON,0,533490,181120,1,3 Pedestrian,1 Male,25-59,34,1,2 Serious,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
48170144095,CITY OF LONDON,0,533150,181350,1,3 Pedestrian,2 Female,25-59,28,1,2 Serious,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
48170146036,CITY OF LONDON,0,531270,180820,1,1 Driver/Rider,1 Male,25-59,50,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48170146390,CITY OF LONDON,0,533240,181530,1,1 Driver/Rider,1 Male,16-24,21,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170146407,CITY OF LONDON,0,533830,180780,1,1 Driver/Rider,1 Male,25-59,40,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48170146862,CITY OF LONDON,0,531770,180830,1,1 Driver/Rider,1 Male,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48170149767,CITY OF LONDON,0,532850,180870,1,1 Driver/Rider,1 Male,25-59,38,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
48170149864,CITY OF LONDON,0,531420,181180,1,1 Driver/Rider,1 Male,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170152144,CITY OF LONDON,0,532900,181120,1,1 Driver/Rider,1 Male,16-24,21,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170152209,CITY OF LONDON,0,531160,181130,1,1 Driver/Rider,1 Male,25-59,42,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
48170152227,CITY OF LONDON,0,531620,181180,1,2 Passenger,2 Female,60+,75,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
48170154215,CITY OF LONDON,0,533120,180920,1,1 Driver/Rider,1 Male,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170154955,CITY OF LONDON,0,531380,180830,1,1 Driver/Rider,1 Male,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170155049,CITY OF LONDON,0,532760,180720,1,3 Pedestrian,2 Female,16-24,20,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
48170155069,CITY OF LONDON,0,531600,181360,2,1 Driver/Rider,2 Female,25-59,26,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170155069,CITY OF LONDON,0,531600,181360,1,1 Driver/Rider,1 Male,25-59,37,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48170155118,CITY OF LONDON,0,531650,181050,1,1 Driver/Rider,1 Male,25-59,42,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48170155523,CITY OF LONDON,0,533380,181920,1,1 Driver/Rider,1 Male,25-59,34,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48170156613,CITY OF LONDON,0,531630,180880,1,3 Pedestrian,2 Female,25-59,41,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
48170156636,CITY OF LONDON,0,531650,181030,1,1 Driver/Rider,1 Male,25-59,37,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48170156636,CITY OF LONDON,0,531650,181030,2,3 Pedestrian,1 Male,25-59,27,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
48170156709,CITY OF LONDON,0,533200,181440,1,1 Driver/Rider,1 Male,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170157757,CITY OF LONDON,0,532750,180890,1,2 Passenger,2 Female,60+,91,1,2 Serious,-2 Unknown,-2 N/A,5 Taxi, 
48170157935,CITY OF LONDON,0,532730,181670,1,2 Passenger,1 Male,25-59,50,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
48170158208,CITY OF LONDON,0,532890,181200,1,3 Pedestrian,1 Male,25-59,29,1,3 Slight,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian, 
48170158269,CITY OF LONDON,0,531260,181580,1,1 Driver/Rider,1 Male,25-59,41,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48170159505,CITY OF LONDON,0,531390,181560,1,1 Driver/Rider,2 Female,25-59,45,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
48170159572,CITY OF LONDON,0,533320,181350,1,1 Driver/Rider,1 Male,25-59,33,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170159841,CITY OF LONDON,0,531590,181450,1,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170162124,CITY OF LONDON,0,533060,181240,1,1 Driver/Rider,1 Male,25-59,36,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170162149,CITY OF LONDON,0,531630,180990,1,1 Driver/Rider,1 Male,25-59,25,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170162206,CITY OF LONDON,0,532880,181720,1,1 Driver/Rider,1 Male,16-24,18,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48170163508,CITY OF LONDON,0,532740,181590,1,1 Driver/Rider,1 Male,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48170163508,CITY OF LONDON,0,532740,181590,2,3 Pedestrian,2 Female,16-24,17,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
48170163524,CITY OF LONDON,0,532920,180980,1,1 Driver/Rider,1 Male,25-59,37,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170163663,CITY OF LONDON,0,532340,181930,1,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48170163737,CITY OF LONDON,0,531380,181570,1,2 Passenger,2 Female,25-59,25,1,2 Serious,-2 Unknown,-2 N/A,6 Bus Or Coach, 
48170164472,CITY OF LONDON,0,532880,180820,1,1 Driver/Rider,1 Male,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48170164493,CITY OF LONDON,0,532470,181170,1,3 Pedestrian,1 Male,25-59,57,1,2 Serious,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
48170164514,CITY OF LONDON,0,533230,181500,1,1 Driver/Rider,1 Male,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170164941,CITY OF LONDON,0,531730,181450,1,1 Driver/Rider,1 Male,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170165105,CITY OF LONDON,0,532760,180740,1,3 Pedestrian,1 Male,25-59,31,1,3 Slight,09 In Road - Not Crossing,9 Unknown Or Other,1 Pedestrian, 
48170165153,CITY OF LONDON,0,533180,181420,1,1 Driver/Rider,1 Male,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170167348,CITY OF LONDON,0,533250,181540,1,3 Pedestrian,1 Male,25-59,36,1,3 Slight,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
48170170256,CITY OF LONDON,0,532720,181120,1,1 Driver/Rider,2 Female,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170170406,CITY OF LONDON,0,532900,181000,1,3 Pedestrian,1 Male,25-59,36,1,3 Slight,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian, 
48170170891,CITY OF LONDON,0,531900,181360,1,1 Driver/Rider,1 Male,25-59,38,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170171585,CITY OF LONDON,0,532780,181770,2,3 Pedestrian,2 Female,16-24,23,1,3 Slight,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
48170171585,CITY OF LONDON,0,532780,181770,1,2 Passenger,2 Female,25-59,59,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
48170171614,CITY OF LONDON,0,532820,181040,1,3 Pedestrian,2 Female,25-59,25,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
48170171923,CITY OF LONDON,0,533140,180670,1,1 Driver/Rider,1 Male,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170171923,CITY OF LONDON,0,533140,180670,2,3 Pedestrian,2 Female,25-59,46,1,2 Serious,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
48170171937,CITY OF LONDON,0,532770,181730,1,3 Pedestrian,2 Female,16-24,24,1,3 Slight,04 Crossing Road Within 50m Xing,2 From Drivers N/Side Msk,1 Pedestrian, 
48170172074,CITY OF LONDON,0,533700,180340,1,1 Driver/Rider,1 Male,16-24,22,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170172362,CITY OF LONDON,0,532140,180930,1,1 Driver/Rider,1 Male,25-59,40,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170172776,CITY OF LONDON,0,533030,180690,1,1 Driver/Rider,1 Male,25-59,42,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
48170172793,CITY OF LONDON,0,532100,181850,1,1 Driver/Rider,2 Female,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170173407,CITY OF LONDON,0,532110,181850,1,1 Driver/Rider,1 Male,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
48170173457,CITY OF LONDON,0,532790,181530,1,1 Driver/Rider,2 Female,25-59,41,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170173488,CITY OF LONDON,0,533030,180830,1,1 Driver/Rider,1 Male,25-59,46,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170173952,CITY OF LONDON,0,532650,181270,1,1 Driver/Rider,1 Male,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
48170173971,CITY OF LONDON,0,532100,181850,1,1 Driver/Rider,2 Female,25-59,38,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
48170174409,CITY OF LONDON,0,532870,180780,1,1 Driver/Rider,1 Male,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170175276,CITY OF LONDON,0,533650,180210,1,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170175288,CITY OF LONDON,0,531640,180990,1,1 Driver/Rider,2 Female,25-59,25,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170175715,CITY OF LONDON,0,532710,181550,1,1 Driver/Rider,1 Male,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170175753,CITY OF LONDON,0,532710,181570,1,3 Pedestrian,2 Female,25-59,53,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
48170176082,CITY OF LONDON,0,531640,181060,1,1 Driver/Rider,2 Female,16-24,22,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170176109,CITY OF LONDON,0,532160,181240,1,1 Driver/Rider,1 Male,25-59,46,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
48170176265,CITY OF LONDON,0,533310,181630,1,1 Driver/Rider,1 Male,16-24,22,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170178963,CITY OF LONDON,0,532470,181160,1,1 Driver/Rider,1 Male,60+,61,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170178973,CITY OF LONDON,0,532730,181670,1,3 Pedestrian,2 Female,25-59,26,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
48170179439,CITY OF LONDON,0,532790,180970,1,1 Driver/Rider,1 Male,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48170179439,CITY OF LONDON,0,532790,180970,2,3 Pedestrian,2 Female,25-59,26,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
48170179501,CITY OF LONDON,0,532930,181500,1,3 Pedestrian,1 Male,25-59,35,1,3 Slight,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
48170179978,CITY OF LONDON,0,531640,180990,1,3 Pedestrian,1 Male,25-59,45,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
48170180097,CITY OF LONDON,0,531620,181490,1,3 Pedestrian,1 Male,25-59,27,1,2 Serious,10 Unknown,9 Unknown Or Other,1 Pedestrian, 
48170180149,CITY OF LONDON,0,531510,181170,1,3 Pedestrian,2 Female,25-59,38,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
48170180173,CITY OF LONDON,0,532030,181500,1,3 Pedestrian,1 Male,25-59,30,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
48170180993,CITY OF LONDON,0,532250,181030,1,3 Pedestrian,2 Female,25-59,28,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
48170181077,CITY OF LONDON,0,532880,180830,1,1 Driver/Rider,1 Male,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170181710,CITY OF LONDON,0,531910,181840,1,1 Driver/Rider,1 Male,16-24,19,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170181727,CITY OF LONDON,0,532110,181850,1,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170181761,CITY OF LONDON,0,532100,181870,1,1 Driver/Rider,1 Male,25-59,54,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
48170181837,CITY OF LONDON,0,533330,181670,1,3 Pedestrian,1 Male,25-59,51,1,3 Slight,04 Crossing Road Within 50m Xing,4 From Drivers O/Side Msk,1 Pedestrian, 
48170182144,CITY OF LONDON,0,533200,181430,1,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48170182386,CITY OF LONDON,0,532820,181040,1,1 Driver/Rider,2 Female,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170182511,CITY OF LONDON,0,531810,181800,1,1 Driver/Rider,1 Male,25-59,46,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
48170182511,CITY OF LONDON,0,531810,181800,2,2 Passenger,2 Female,60+,60,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
48170183043,CITY OF LONDON,0,532300,180960,1,1 Driver/Rider,1 Male,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170183060,CITY OF LONDON,0,531420,181180,1,1 Driver/Rider,1 Male,25-59,25,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170183458,CITY OF LONDON,0,531460,180840,1,1 Driver/Rider,1 Male,25-59,58,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170183463,CITY OF LONDON,0,531320,181580,1,3 Pedestrian,2 Female,25-59,31,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
48170183476,CITY OF LONDON,0,531300,181350,1,3 Pedestrian,2 Female,16-24,24,1,3 Slight,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian, 
48170183489,CITY OF LONDON,0,533370,181930,1,3 Pedestrian,1 Male,25-59,32,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
48170183557,CITY OF LONDON,0,532420,180830,1,1 Driver/Rider,1 Male,25-59,30,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48170185580,CITY OF LONDON,0,531640,180580,1,1 Driver/Rider,1 Male,25-59,29,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170185611,CITY OF LONDON,0,532130,181290,1,3 Pedestrian,1 Male,25-59,32,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
48170186027,CITY OF LONDON,0,533310,181630,1,3 Pedestrian,2 Female,25-59,26,1,3 Slight,04 Crossing Road Within 50m Xing,2 From Drivers N/Side Msk,1 Pedestrian, 
48170186041,CITY OF LONDON,0,533670,181320,1,3 Pedestrian,2 Female,25-59,28,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
48170186127,CITY OF LONDON,0,531890,181140,1,1 Driver/Rider,1 Male,25-59,45,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
48170186137,CITY OF LONDON,0,531570,181580,1,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
48170186771,CITY OF LONDON,0,532660,181340,1,3 Pedestrian,2 Female,25-59,31,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
48170186875,CITY OF LONDON,0,533220,180940,1,3 Pedestrian,1 Male,25-59,25,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
48170187102,CITY OF LONDON,0,532170,181560,1,1 Driver/Rider,1 Male,16-24,22,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48170187115,CITY OF LONDON,0,532850,180780,1,1 Driver/Rider,1 Male,25-59,38,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170187189,CITY OF LONDON,0,533420,181060,1,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48170187201,CITY OF LONDON,0,532780,181770,1,1 Driver/Rider,2 Female,25-59,46,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48170187201,CITY OF LONDON,0,532780,181770,2,3 Pedestrian,1 Male,16-24,20,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
48170189138,CITY OF LONDON,0,531640,181000,1,1 Driver/Rider,2 Female,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170192990,CITY OF LONDON,0,531900,181370,1,3 Pedestrian,1 Male,25-59,27,1,2 Serious,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian, 
48170192999,CITY OF LONDON,0,533250,181540,1,1 Driver/Rider,1 Male,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170193031,CITY OF LONDON,0,531470,180840,1,1 Driver/Rider,1 Male,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170193331,CITY OF LONDON,0,533340,181670,1,3 Pedestrian,1 Male,25-59,36,1,3 Slight,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
48170193364,CITY OF LONDON,0,532550,181150,1,1 Driver/Rider,1 Male,25-59,25,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170193364,CITY OF LONDON,0,532550,181150,2,3 Pedestrian,1 Male,25-59,30,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
48170193401,CITY OF LONDON,0,531640,181120,1,3 Pedestrian,1 Male,25-59,32,1,3 Slight,04 Crossing Road Within 50m Xing,2 From Drivers N/Side Msk,1 Pedestrian, 
48170193487,CITY OF LONDON,0,532670,180780,1,1 Driver/Rider,1 Male,25-59,39,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170193806,CITY OF LONDON,0,531610,181180,1,1 Driver/Rider,2 Female,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170193821,CITY OF LONDON,0,532175,181228,1,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170193852,CITY OF LONDON,0,532535,180923,1,1 Driver/Rider,1 Male,25-59,49,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170195742,CITY OF LONDON,0,532820,181180,1,3 Pedestrian,2 Female,16-24,22,1,2 Serious,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
48170195824,CITY OF LONDON,0,532900,180710,1,1 Driver/Rider,1 Male,25-59,37,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48170195824,CITY OF LONDON,0,532900,180710,2,3 Pedestrian,1 Male,25-59,36,1,2 Serious,04 Crossing Road Within 50m Xing,4 From Drivers O/Side Msk,1 Pedestrian, 
48170195977,CITY OF LONDON,0,531730,181460,1,1 Driver/Rider,1 Male,25-59,46,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170196551,CITY OF LONDON,0,532710,181560,1,3 Pedestrian,1 Male,60+,76,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
48170196559,CITY OF LONDON,0,533290,180730,1,2 Passenger,1 Male,25-59,45,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
48170196870,CITY OF LONDON,0,531720,181450,1,1 Driver/Rider,1 Male,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48170196886,CITY OF LONDON,0,531780,180850,1,1 Driver/Rider,1 Male,25-59,42,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
48170196961,CITY OF LONDON,0,532710,181560,1,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170196975,CITY OF LONDON,0,533680,181340,1,1 Driver/Rider,2 Female,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48170197360,CITY OF LONDON,0,532590,180930,1,3 Pedestrian,1 Male,60+,72,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
48170197386,CITY OF LONDON,0,533030,180670,1,3 Pedestrian,1 Male,16-24,23,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
48170197407,CITY OF LONDON,0,531820,180820,1,1 Driver/Rider,1 Male,25-59,57,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
